round,district,selected,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
2,Kulosaari,False,0.09204219,0.002763916,0.29703367,0.002753931,0.06265648,0.0027557672,0.539994
1,Lauttasaari,False,0.0039796303,0.55943775,0.003977689,0.0039762054,0.42067772,0.0039756224,0.0039754347
2,Kampinmalmi,False,0.003117075,0.0031189127,0.40940014,0.003117105,0.57500327,0.003118996,0.003124508
1,Mellunkylä,False,0.0071595362,0.007158654,0.00716919,0.007193261,0.9569911,0.0071541066,0.007174181
1,Vanhakaupunki,False,0.00895817,0.18957654,0.008948239,0.008958162,0.7655353,0.009009623,0.009014034
2,Lauttasaari,False,0.0034928368,0.3727691,0.14934751,0.0035021862,0.11159595,0.35579374,0.0034986355
3,,False,0.040943958,0.0040996172,0.0040942407,0.0040999707,0.9385734,0.0040970906,0.0040917266
1,Vallila,False,0.0021731178,0.07315519,0.0021761106,0.0021751286,0.7679571,0.057002574,0.095360816
2,Ullanlinna,False,0.0024307817,0.002428732,0.0024303624,0.002433976,0.19684769,0.7910032,0.0024252527
3,Kallio,False,0.003983772,0.003987004,0.003988665,0.0039783698,0.97606885,0.0039802473,0.00401305
1,Herttoniemi,False,0.0033391262,0.003339278,0.28078082,0.31819364,0.3876714,0.0033427423,0.0033330114
2,Vironniemi,False,0.004934086,0.5305604,0.1130162,0.0049692974,0.004935916,0.33663228,0.0049518407
3,,False,0.53235334,0.028656796,0.028581902,0.028581843,0.028611174,0.028581822,0.3246331
1,Kampinmalmi,False,0.25222117,0.15454778,0.23721214,0.002477273,0.0024749844,0.24320087,0.107865825
2,Haaga,False,0.65440845,0.0028659506,0.002879644,0.0028689103,0.33123922,0.002867053,0.0028707793
1,Kampinmalmi,False,0.58756137,0.26701024,0.003787416,0.13030884,0.003780069,0.0037716802,0.003780378
2,Puistola,False,0.0024750172,0.0024687469,0.0024743965,0.0024707639,0.0024767122,0.15601245,0.8316219
3,Kallio,False,0.2667441,0.0049438337,0.46494967,0.004934264,0.0049464083,0.13177177,0.12170995
1,Lauttasaari,True,0.0972495,0.88681865,0.0031836613,0.0031775776,0.0031880166,0.003188972,0.003193643
2,Oulunkylä,False,0.0059742564,0.005973192,0.21574189,0.005968779,0.0059833582,0.3427996,0.41755888
1,Kampinmalmi,False,0.002989537,0.0029923865,0.002995845,0.29721326,0.14666803,0.5441501,0.002990788
2,Kallio,False,0.72516215,0.006510589,0.0065054977,0.006505603,0.006509785,0.0065064444,0.24229997
3,,False,0.0037646606,0.0037686098,0.97740465,0.003762695,0.0037652978,0.0037698457,0.0037642722
